customer_id,first_name,last_name,email,phone,address_line1,address_line2,city,state,zip_code,country,signup_date,last_login_date,last_purchase_date,total_purchases,total_spend,loyalty_tier,email_verified,account_status,preferred_category,age,gender,marketing_opt_in,customer_lifetime_value,risk_score
CUST009089,Liam,Brown,liam.brown@icloud.com,Not Provided,9359 Elm St,,Fort Worth,NE,44471,USA,8/9/2023,9/1/2026,7/12/2023,111,732.52,Silver,TRUE,Suspended,Books,27,Other,FALSE,8353.55,81
CUST006328,Emily,Mitchell,emily.mitchell@hotmail.com,(277) 583-5197,7798 Maple Dr,,San Antonio,PA,18588,USA,3/30/2025,21-10-2024,20-08-2025,47,3236.6,Silver,FALSE,Active,Clothing,29,M,TRUE,1114.29,89
CUST009257,Lisa,SÃ¡nchez,lisa.sanchez@hotmail.com,Not Provided,408 Elm St,,Omaha,MO,89726,USA,9/24/2024,12/20/2025,26-06-2023,134,513.62,Bronze,FALSE,Active,Electronics,54,Female,TRUE,3348.69,5
CUST001110,Richard,Gonzalez,richard.gonzalez@yahoo.com,(659) -99-5-9571,6482 Washington Blvd,,Virginia Beach,PA,46424,USA,8/8/2024,12/20/2024,7/26/2023,56,1935.34,Bronze,FALSE,Inactive,Beauty,78,Not Specified,FALSE,6457.99,86
CUST002944,Thomas,Sanchez,unknown@nodomain.com,(658) 774-8354,2495 Cedar Ln,,Charlotte,GA,11363,USA,7/6/2022,7/23/2025,8/29/2025,146,2349.04,Bronze,TRUE,Pending,Sports,57,Other,TRUE,9788.41,31
CUST007838,James,Roberts,unknown@nodomain.com,(427) -65-4-7207,5091 Cedar Ln,,Louisville,OH,35760,USA,2/2/2021,1/14/2026,5/29/2025,38,2532.99,Gold,TRUE,Suspended,Home & Garden,78,M,FALSE,3823.81,81
CUST001391,Amelia,Lee,amelia.lee@gmail.com,(262) -88-5-7551,5795 Elm St,,Las Vegas,WI,19939,USA,6/22/2022,9/16/2024,6/11/2025,49,1717.66,Bronze,FALSE,Inactive,Automotive,66,Female,TRUE,4513.34,39
CUST006787,Emma,Mitchell,emma.mitchell@company.com,((22) 8) -468-2963,2866 Cedar Ln,Apt 47,Austin,NC,64971,USA,10/1/2020,21-07-2024,5/9/2023,51,1592.16,Platinum,TRUE,Pending,Sports,28,Not Specified,FALSE,5801.94,74
CUST004504,Charlotte,Williams,charlotte.williams@icloud.com,(515) 936-2160,Not Provided,Suite 242,Baltimore,CO,48644,USA,7/11/2021,5/15/2025,8/9/2024,103,1380.68,Bronze,TRUE,Active,Home & Garden,64,Not Specified,TRUE,8891.88,66
CUST009383,Paul,Sanchez,unknown@nodomain.com,Not Provided,9366 Park Rd,,Fresno,MA,54956,USA,2/9/2025,2/13/2024,1/23/2024,12,1965.19,Bronze,TRUE,Inactive,Electronics,53,Not Specified,FALSE,6192.09,4
