customer_id,first_name,last_name,email,phone,address_line1,address_line2,city,state,zip_code,country,signup_date,last_login_date,last_purchase_date,total_purchases,total_spend,loyalty_tier,email_verified,account_status,preferred_category,age,gender,marketing_opt_in,customer_lifetime_value,risk_score
CUST009089,Liam,Brown,liam.brown@icloud.com,-3664,9359 Elm St,,Fort Worth,New York,44471,USA,8/9/2023,9/1/2026,7/12/2023,111,732.52,Silver,Yes,Suspended,Books,27,Other,No,8353.55,81
CUST006328,  Emily,Mitchell,emily.mitchell@hotmail.com,2775835197,7798 Maple Dr,,San Antonio  ,pa,18588,USA,3/30/2025,21-10-2024,20-08-2025,47,3236.6,Silver,FALSE,Active,Clothing,29,M,Yes,1114.29,89
CUST009257,  Lisa,SÃ¡nchez,lisa.sanchez@hotmail.com,-9878,408 Elm St,,Omaha,mo,89726,USA,9/24/2024,12/20/2025,26-06-2023,134,513.62,bronze,FALSE,Active,Electronics,54,Female,Yes,3348.69,5
CUST001110,Richard,  Gonzalez,richard.gonzalez@yahoo.com,659-995-9571,6482 Washington Blvd,,Virginia Beach,PA,46424,USA,8/8/2024,12/20/2024,7/26/2023,56,1935.34,Bronze,No,Inactive,Beauty,78,,0,6457.99,86
CUST002944,Thomas,Sanchez,,6587748354,2495 Cedar Ln,,Charlotte,GA,11363,USA,7/6/2022,7/23/2025,8/29/2025,146,2349.04,BRONZE,1,Pending,Sports,57,Other,TRUE,9788.41,31
CUST007838,James,Roberts,,427-654-7207,5091 Cedar Ln,,  Louisville  ,OH,35760,USA,2/2/2021,1/14/2026,5/29/2025,38,2532.99,gold,Y,Suspended,Home & Garden,78,M,No,3823.81,81
CUST001391,Amelia,Lee,amelia.lee@gmail.com,262-885-7551,5795 Elm St,,Las Vegas,WI,19939,USA,6/22/2022,9/16/2024,6/11/2025,49,1717.66,,0,Inactive,Automotive,66,Female,Y,4513.34,39
CUST006787,  Emma  ,Mitchell,emma.mitchell@company.com,(228) 468-2963,2866 Cedar Ln,Apt 47,  Austin,nc,64971,USA,10/1/2020,21-07-2024,5/9/2023,51,1592.16,platinum,1,Pending,Sports,28,,N,5801.94,74
CUST004504,Charlotte,Williams,charlotte.williams@icloud.com,5159362160,,Suite 242,Baltimore,CO,48644,USA,7/11/2021,5/15/2025,8/9/2024,103,1380.68,Bronze,Yes,Active,Home & Garden,64,,TRUE,8891.88,66
CUST009383,Paul,Sanchez,,-2830,9366 Park Rd,,Fresno,MA,54956,USA,2/9/2025,2/13/2024,1/23/2024,12,1965.19,,TRUE,Inactive,Electronics,53,,No,6192.09,4
CUST009065,Margaret,Green,margaret.green@icloud.com,8626194539,,# 322,Columbus,pa,35577,USA,3/24/2023,5/27/2025,9/30/2024,82,4844.7,Silver,0,Active,Toys,66,F,1,1426.79,23
CUST009434,Logan,Perez,,(450) 272-2044,6949 Cedar Ln,,Chicago,GA,76500,USA,28-10-2021,6/24/2025,6/5/2025,9,4955.44,,Yes,Inactive,Books,37,F,Y,1807.71,82
CUST003423,Jennifer,Green,,(331) 801-5477,7679 Cedar Ln,,Dallas,MN,74084,USA,4/8/2022,10/13/2025,20-11-2024,85,2589.54,Silver,TRUE,Inactive,Beauty,36,Female,1,6173.79,7
CUST009616,Sarah,Scott,sarah.scott@yahoo.com,,1832 Park Rd,# 497,Charlotte,GA,34324,USA,10/16/2021,10/10/2024,15-09-2023,128,2929.46,Bronze,No,Active,Automotive,19,Female,TRUE,6278.02,56
CUST000745,Liam,Rivera,liam.rivera@outlook.com,-6974,7462 Main St,# 81,Indianapolis,MN,55105,USA,8/20/2021,2/12/2025,11/17/2025,145,1312.86,gold,N,Suspended,Electronics,79,,Yes,1240.74,4
CUST002845,Sophia,Baker,sophia.baker@company.com,405-995-6434,238 Oak Ave,,Austin,ma,40629,USA,12/21/2024,8/19/2025,10/9/2025,121,1600.28,Silver,FALSE,Suspended,Electronics,61,M,No,1562.79,12
CUST007591,Emily,Rodriguez,emily.rodriguez@company.com,287.622.5817,1944 Oak Ave,,Miami,NY,33358,USA,7/13/2020,8/2/2025,4/23/2024,145,3318.57,,Yes,Pending,Clothing,72,Other,1,2880.25,43
CUST000242,Paul,Lopez,paul.lopez@gmail.com,266.671.4345,8853 Oak Ave,,Fresno,sc,75354,USA,18-09-2024,8/30/2024,6/9/2024,135,1066.82,Platinum,TRUE,Active,Beauty,78,,No,2001.15,32
CUST004748,Ãshley,Lopez,,510.546.5934,8605 Elm St,# 4,  Baltimore,OH,92182,USA,29-09-2024,8/11/2025,10/9/2023,91,973.17,Platinum,No,Suspended,Home & Garden,38,Other,FALSE,8392.93,93
CUST005631,Anthony,Rodriguez,anthony.rodriguez@gmail.com,358.885.9195,980 Oak Ave,,Chicago,OK,29719,USA,5/14/2025,10/14/2025,23-07-2023,15,2604.17,,No,Inactive,Beauty,66,Female,0,5492.49,34
CUST002443,Mason,Torres,mason.torres@yahoo.com,-4758,9615 Cedar Ln,,Atlanta,ga,62744,USA,4/29/2025,1/20/2024,12/3/2023,27,813.27,,Y,Inactive,Home & Garden,56,Female,TRUE,7297.61,48
CUST002367,Donald,Taylor,donald.taylor@hotmail.com,308.280.5503,1527 Park Rd,# 1,San Antonio,SC,63905,USA,24-07-2023,15-07-2025,29-07-2023,126,2179.2,,No,Active,Sports,61,M,Yes,2601.22,20
CUST009640,Robert,Torres,robert.torres@hotmail.com,239.615.6796,9213 Cedar Ln,,Jacksonville,MO,69748,USA,9/30/2025,2/6/2024,9/2/2024,79,979.78,Gold,No,Suspended,Clothing,77,Male,,1106.91,45
CUST003720,James,Jones,james.jones@company.com,487-537-9694,6620 Park Rd,,Houston,MO,27955,USA,10/12/2025,22-12-2025,18-04-2025,97,337.76,,Yes,Inactive,Beauty,75,F,No,1939.59,17
CUST008164,Elijah,Nguyen,elijah.nguyen@hotmail.com,4775566660,8993 Cedar Ln,# 152,Jacksonville,CO,22362,USA,7/13/2020,12/3/2024,10/16/2023,2,3763.36,,N,Pending,Clothing,51,F,FALSE,7211.87,68
CUST003901,Sarah,Carter,sarah.carter@company.com,-6918,3999 Main St,,Austin,MO,81347,USA,5/10/2025,3/3/2025,6/7/2023,95,892.76,Platinum,Yes,Pending,Home & Garden,42,,No,6235.37,70
CUST006147,Robert,Evans,robert.evans@yahoo.com,6888658850,3479 Oak Ave,,Dallas,MI,75826,USA,15-09-2021,12/7/2025,3/11/2023,42,1511.72,Silver,FALSE,Inactive,Clothing,25,Other,0,8302.2,76
CUST004624,Sophia,Martin,sophia.martin@outlook.com,8543842560,3231 Cedar Ln,,Miami,sc,50105,USA,2/13/2021,1/25/2025,7/28/2023,143,4043.04,platinum,Yes,Pending,Sports,43,Female,0,6329.37,77
CUST009155,Donna,Wilson,donna.wilson@company.com,-6851,9823 Park Rd,Apt 267,  Mesa  ,mn,47031,USA,3/21/2021,2/3/2025,15-12-2024,71,3810.18,PLATINUM,0,Pending,Clothing,59,F,Y,5243.25,28
CUST007183,Jennifer,Robinson,jennifer.robinson@gmail.com,-5039,243 Main St,Apt 144,Detroit,CT,38110,USA,3/27/2023,7/30/2024,16-04-2024,49,609.2,BRONZE,1,Active,Sports,23,Male,FALSE,4665.71,0
CUST003089,Olivia,Smith,olivia.smith@hotmail.com,-3954,8138 Cedar Ln,,Albuquerque,KY,51231,USA,12/24/2023,6/9/2024,12/5/2024,55,273.94,Silver,Y,Pending,Sports,43,F,,2686.07,82
CUST003663,Emma,Roberts,,6549795239,1410 Washington Blvd,,Sacramento,KY,15442,USA,6/9/2022,7/25/2024,24-09-2023,42,1959.78,Platinum,Y,Active,Electronics,57,Female,,543.27,17
CUST008304,James,King,james.king@hotmail.com,256-530-8588,8628 Park Rd,,Raleigh,CO,20055,USA,2/5/2024,16-10-2024,12/9/2024,89,2536.43,Gold,N,Suspended,Electronics,62,,,8225.91,96
CUST009278,Matthew,Scott,matthew.scott@outlook.com,4645645351,4141 Main St,# 104,Fresno,mi,46472,USA,6/24/2020,30-12-2025,6/15/2025,106,988.03,bronze,1,Inactive,Home & Garden,20,M,FALSE,8959.93,74
CUST001241,Amelia,Roberts,,-5582,6099 Maple Dr,# 209,Columbus,OH,84571,USA,9/5/2023,2/11/2025,1/18/2023,2,4926.35,bronze,No,Suspended,Automotive,60,,N,4605.55,33
CUST007103,Elijah,Martin,elijah.martin@company.com,(436) 266-3775,4067 Maple Dr,,Phoenix,CT,84624,USA,12/28/2023,18-12-2025,3/21/2025,33,2275.92,silver,N,Pending,Clothing,36,Other,TRUE,8204.71,68
CUST009578,Charles,Smith,charles.smith@gmail.com,-3677,5886 Washington Blvd,,Colorado Springs,KY,61770,USA,4/18/2021,11/27/2024,24-12-2024,88,1939.11,Bronze,Y,Suspended,Clothing,79,,No,4079.72,94
